0 10 0.00100
10 20 1.41384
20 30 12.7617
30 40 33.2624
40 50 49.3354
50 60 63.1761
60 70 72.7381
70 80 84.3465
80 90 92.3458
90 100 97.6663
100 110 98.8197
110 120 95.2851
120 130 91.8249
130 140 75.5371
140 150 65.7518
150 160 53.8087
160 170 44.6187
170 180 35.8381
180 190 26.8341
190 200 1.9973
